cnae_descricao,tipo
Atividades de coordenação e controle da operação da geração e transmissão de energia elétrica,bem
"Atividades de jardins botânicos, zoológicos, parques nacionais, reservas ecológicas e áreas de proteção ambiental",bem
"Captação, tratamento e distribuição de água",bem
Coleta de castanha-do-pará em florestas nativas,bem
Coleta de látex em florestas nativas,bem
Coleta de palmito em florestas nativas,bem
Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas,bem
Coleta de resíduos não-perigosos,bem
Comércio atacadista de resíduos de papel e papelão,bem
Comércio atacadista de resíduos e sucatas metálicos,bem
"Comércio atacadista de resíduos e sucatas não-metálicos, exceto de papel e papelão",bem
Conservação de florestas nativas,bem
"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação",bem
Cultivo de açaí,bem
Cultivo de dendê,bem
Cultivo de flores e plantas ornamentais,bem
Cultivo de guaraná,bem
Cultivo de morango,bem
Cultivo de mudas em viveiros florestais,bem
Cultivo de seringueira,bem
Descontaminação e outros serviços de gestão de resíduos,bem
Fabricação de álcool,bem
Fabricação de artigos de vidro,bem
Fabricação de embalagens de vidro,bem
"Fabricação de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios",bem
Fabricação de vidro plano e de segurança,bem
Geração de energia elétrica,bem
Gestão de redes de esgoto,bem
"Horticultura, exceto morango",bem
Manutenção de redes de distribuição de energia elétrica,bem
"Produção de mudas e outras formas de propagação vegetal, certificadas",bem
"Recuperação de materiais metálicos, exceto alumínio",bem
Recuperação de materiais não especificados anteriormente,bem
Recuperação de sucatas de alumínio,bem
Tratamento e disposição de resíduos não-perigosos,bem
Usinas de compostagem,bem
Abate de aves,mal
Abate de pequenos animais,mal
"Aluguel de máquinas e equipamentos para extração de minérios e petróleo, sem operador",mal
Apicultura,mal
Atividades de apoio à agricultura não especificadas anteriormente,mal
Atividades de apoio à extração de minerais metálicos não-ferrosos,mal
Atividades de apoio à extração de minerais não-metálicos,mal
Atividades de apoio à extração de minério de ferro,mal
Atividades de apoio à extração de petróleo e gás natural,mal
Atividades de apoio à pecuária não especificadas anteriormente,mal
Atividades de apoio à produção florestal,mal
Atividades de pós-colheita,mal
Beneficiamento de arroz,mal
Beneficiamento de café,mal
Beneficiamento de carvão mineral,mal
Beneficiamento de gesso e caulim associado à extração,mal
Beneficiamento de minério de alumínio,mal
Beneficiamento de minério de estanho,mal
Beneficiamento de minério de manganês,mal
Beneficiamento de minério de metais preciosos,mal
"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente",mal
"Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador retalhista (T.R.R.)",mal
Comércio atacadista de combustíveis de origem mineral em bruto,mal
"Comércio atacadista de combustíveis de origem vegetal, exceto álcool carburante",mal
Comércio atacadista de combustíveis realizado por transportador retalhista (T.R.R.),mal
"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo",mal
Comércio atacadista de gás liqüefeito de petróleo (GLP),mal
Comércio atacadista de lubrificantes,mal
Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente,mal
Comércio atacadista de resinas e elastômeros,mal
Comércio atacadista de solventes,mal
Comércio varejista de combustíveis para veículos automotores,mal
Comércio varejista de gás liqüefeito de petróleo (GLP),mal
Comércio varejista de lubrificantes,mal
Construção de barragens e represas para geração de energia elétrica,mal
Criação de asininos e muares,mal
"Criação de aves, exceto galináceos",mal
Criação de bovinos para corte,mal
Criação de bovinos para leite,mal
"Criação de bovinos, exceto para corte e leite",mal
Criação de bufalinos,mal
Criação de caprinos,mal
Criação de eqüinos,mal
Criação de frangos para corte,mal
"Criação de outros galináceos, exceto para corte",mal
"Criação de ovinos, inclusive para produção de lã",mal
Criação de suínos,mal
Cultivo de abacaxi,mal
Cultivo de acácia-negra,mal
Cultivo de algodão herbáceo,mal
Cultivo de alho,mal
Cultivo de amendoim,mal
Cultivo de arroz,mal
Cultivo de banana,mal
Cultivo de batata-inglesa,mal
Cultivo de cacau,mal
Cultivo de café,mal
Cultivo de caju,mal
Cultivo de cana-de-açúcar,mal
Cultivo de cebola,mal
Cultivo de chá-da-índia,mal
"Cultivo de cítricos, exceto laranja",mal
Cultivo de coco-da-baía,mal
Cultivo de erva-mate,mal
"Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca",mal
Cultivo de eucalipto,mal
Cultivo de feijão,mal
Cultivo de frutas de lavoura permanente não especificadas anteriormente,mal
Cultivo de fumo,mal
Cultivo de girassol,mal
Cultivo de juta,mal
Cultivo de laranja,mal
Cultivo de maçã,mal
Cultivo de mamão,mal
Cultivo de mamona,mal
Cultivo de mandioca,mal
Cultivo de manga,mal
Cultivo de maracujá,mal
Cultivo de melancia,mal
Cultivo de melão,mal
Cultivo de milho,mal
Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,mal
Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,mal
Cultivo de outras plantas de lavoura permanente não especificadas anteriormente,mal
Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,mal
Cultivo de outros cereais não especificados anteriormente,mal
Cultivo de pêssego,mal
Cultivo de pimenta-do-reino,mal
Cultivo de pinus,mal
"Cultivo de plantas para condimento, exceto pimenta-do-reino",mal
Cultivo de soja,mal
Cultivo de teca,mal
Cultivo de tomate rasteiro,mal
Cultivo de trigo,mal
Cultivo de uva,mal
Distribuição de combustíveis gasosos por redes urbanas,mal
Elaboração de combustíveis nucleares,mal
Extração de amianto,mal
Extração de ardósia e beneficiamento associado,mal
"Extração de areia, cascalho ou pedregulho e beneficiamento associado",mal
Extração de argila e beneficiamento associado,mal
Extração de basalto e beneficiamento associado,mal
